RESERVOIR node 0 GRESSE
reservoir_init_fr= 0.80000  masl=741.810
Filling at HRW [Mm3] = 168.04000
Filling at LRW [Mm3] = 106.60000
Active reservoir capacity [Mm3] = 61.44000
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2022 9 1 0 0.2200 564.8800 0.0000 0.0000 155.5118 747.2378 0.7961 0.0000 3.0000 0.0000 0.0000 0.0000 3.0000 
2022 9 2 0 0.2000 425.8500 0.0000 0.0000 155.2699 747.2033 0.7922 0.0000 3.0000 0.0000 0.0000 0.0000 3.0000 
2022 9 3 0 0.1800 383.9200 0.0000 0.0000 155.0262 747.1686 0.7882 0.0000 3.0000 0.0000 0.0000 0.0000 3.0000 
2022 9 4 0 0.2100 310.1000 0.0000 0.0000 154.7852 747.1342 0.7843 0.0000 3.0000 0.0000 0.0000 0.0000 3.0000 
2022 9 5 0 0.2300 388.8400 0.0000 0.0000 154.5459 747.1001 0.7804 0.0000 3.0000 0.0000 0.0000 0.0000 3.0000 
2022 9 6 0 0.2700 414.3500 0.0000 0.0000 154.3100 747.0665 0.7765 0.0000 3.0000 0.0000 0.0000 0.0000 3.0000 
2022 9 7 0 0.2700 451.5300 0.0000 0.0000 154.0741 747.0329 0.7727 0.0000 3.0000 0.0000 0.0000 0.0000 3.0000 
2022 9 8 0 0.2400 426.5600 0.0000 0.0000 153.8356 746.9989 0.7688 0.0000 3.0000 0.0000 0.0000 0.0000 3.0000 
2022 9 9 0 0.2200 352.9300 0.0000 0.0000 153.5955 746.9647 0.7649 0.0000 3.0000 0.0000 0.0000 0.0000 3.0000 
2022 9 10 0 0.2300 410.9400 0.0000 0.0000 153.3561 746.9306 0.7610 0.0000 3.0000 0.0000 0.0000 0.0000 3.0000 
2022 9 11 0 0.2600 400.0100 0.0000 0.0000 153.1194 746.8968 0.7572 0.0000 3.0000 0.0000 0.0000 0.0000 3.0000 
