Riversystem GRESSE_daily reservoir fractions [fr] 
YYYY MM DD HH GRESSE 
2022 9 1 0 0.7961 
2022 9 2 0 0.7922 
2022 9 3 0 0.7882 
2022 9 4 0 0.7843 
2022 9 5 0 0.7804 
2022 9 6 0 0.7765 
2022 9 7 0 0.7727 
2022 9 8 0 0.7688 
2022 9 9 0 0.7649 
2022 9 10 0 0.7610 
2022 9 11 0 0.7572 
2022 9 12 0 0.7535 
2022 9 13 0 0.7511 
2022 9 14 0 0.7482 
2022 9 15 0 0.7450 
2022 9 16 0 0.7416 
2022 9 17 0 0.7381 
2022 9 18 0 0.7344 
2022 9 19 0 0.7306 
2022 9 20 0 0.7268 
2022 9 21 0 0.7230 
2022 9 22 0 0.7191 
2022 9 23 0 0.7153 
2022 9 24 0 0.7114 
2022 9 25 0 0.7087 
2022 9 26 0 0.7070 
2022 9 27 0 0.7061 
2022 9 28 0 0.7072 
2022 9 29 0 0.7065 
2022 9 30 0 0.7050 
2022 10 1 0 0.7060 
2022 10 2 0 0.7077 
2022 10 3 0 0.7084 
2022 10 4 0 0.7088 
2022 10 5 0 0.7129 
2022 10 6 0 0.7207 
2022 10 7 0 0.7221 
2022 10 8 0 0.7230 
2022 10 9 0 0.7228 
2022 10 10 0 0.7221 
2022 10 11 0 0.7213 
2022 10 12 0 0.7199 
2022 10 13 0 0.7183 
2022 10 14 0 0.7163 
2022 10 15 0 0.7158 
2022 10 16 0 0.7159 
2022 10 17 0 0.7159 
2022 10 18 0 0.7155 
2022 10 19 0 0.7146 
2022 10 20 0 0.7132 
2022 10 21 0 0.7113 
2022 10 22 0 0.7092 
2022 10 23 0 0.7087 
2022 10 24 0 0.7094 
2022 10 25 0 0.7091 
2022 10 26 0 0.7132 
2022 10 27 0 0.7140 
2022 10 28 0 0.7136 
2022 10 29 0 0.7139 
2022 10 30 0 0.7138 
2022 10 31 0 0.7123 
2022 11 1 0 0.7108 
2022 11 2 0 0.7111 
2022 11 3 0 0.7159 
2022 11 4 0 0.7206 
2022 11 5 0 0.7242 
2022 11 6 0 0.7257 
2022 11 7 0 0.7290 
2022 11 8 0 0.7312 
2022 11 9 0 0.7346 
2022 11 10 0 0.7363 
2022 11 11 0 0.7368 
2022 11 12 0 0.7364 
2022 11 13 0 0.7354 
2022 11 14 0 0.7342 
2022 11 15 0 0.7337 
2022 11 16 0 0.7348 
2022 11 17 0 0.7397 
2022 11 18 0 0.7402 
2022 11 19 0 0.7390 
2022 11 20 0 0.7378 
2022 11 21 0 0.7358 
2022 11 22 0 0.7334 
2022 11 23 0 0.7314 
2022 11 24 0 0.7296 
2022 11 25 0 0.7291 
2022 11 26 0 0.7302 
2022 11 27 0 0.7317 
2022 11 28 0 0.7351 
2022 11 29 0 0.7360 
2022 11 30 0 0.7352 
2022 12 1 0 0.7336 
2022 12 2 0 0.7316 
2022 12 3 0 0.7292 
2022 12 4 0 0.7267 
2022 12 5 0 0.7240 
2022 12 6 0 0.7214 
2022 12 7 0 0.7187 
2022 12 8 0 0.7160 
2022 12 9 0 0.7135 
2022 12 10 0 0.7110 
2022 12 11 0 0.7086 
2022 12 12 0 0.7063 
2022 12 13 0 0.7038 
2022 12 14 0 0.7012 
2022 12 15 0 0.6986 
2022 12 16 0 0.6958 
2022 12 17 0 0.6929 
2022 12 18 0 0.6901 
2022 12 19 0 0.6873 
2022 12 20 0 0.6849 
2022 12 21 0 0.6833 
2022 12 22 0 0.6819 
2022 12 23 0 0.6798 
2022 12 24 0 0.6771 
2022 12 25 0 0.6741 
2022 12 26 0 0.6723 
2022 12 27 0 0.6702 
2022 12 28 0 0.6675 
2022 12 29 0 0.6648 
2022 12 30 0 0.6619 
2022 12 31 0 0.6596 
2023 1 1 0 0.6569 
2023 1 2 0 0.6540 
2023 1 3 0 0.6509 
2023 1 4 0 0.6478 
2023 1 5 0 0.6450 
2023 1 6 0 0.6420 
2023 1 7 0 0.6390 
2023 1 8 0 0.6376 
2023 1 9 0 0.6376 
2023 1 10 0 0.6365 
2023 1 11 0 0.6348 
2023 1 12 0 0.6328 
2023 1 13 0 0.6304 
2023 1 14 0 0.6278 
2023 1 15 0 0.6250 
2023 1 16 0 0.6223 
2023 1 17 0 0.6194 
2023 1 18 0 0.6166 
2023 1 19 0 0.6136 
2023 1 20 0 0.6105 
2023 1 21 0 0.6074 
2023 1 22 0 0.6042 
2023 1 23 0 0.6012 
2023 1 24 0 0.5980 
2023 1 25 0 0.5949 
2023 1 26 0 0.5920 
2023 1 27 0 0.5890 
2023 1 28 0 0.5859 
2023 1 29 0 0.5827 
2023 1 30 0 0.5796 
2023 1 31 0 0.5765 
2023 2 1 0 0.5733 
2023 2 2 0 0.5703 
2023 2 3 0 0.5672 
2023 2 4 0 0.5638 
2023 2 5 0 0.5604 
2023 2 6 0 0.5569 
2023 2 7 0 0.5534 
2023 2 8 0 0.5499 
2023 2 9 0 0.5465 
2023 2 10 0 0.5431 
2023 2 11 0 0.5398 
2023 2 12 0 0.5365 
2023 2 13 0 0.5333 
2023 2 14 0 0.5300 
2023 2 15 0 0.5266 
2023 2 16 0 0.5231 
2023 2 17 0 0.5197 
2023 2 18 0 0.5165 
2023 2 19 0 0.5132 
2023 2 20 0 0.5101 
2023 2 21 0 0.5070 
2023 2 22 0 0.5038 
2023 2 23 0 0.5006 
2023 2 24 0 0.4974 
2023 2 25 0 0.4945 
2023 2 26 0 0.4919 
2023 2 27 0 0.4895 
2023 2 28 0 0.4868 
2023 3 1 0 0.4840 
2023 3 2 0 0.4810 
2023 3 3 0 0.4780 
2023 3 4 0 0.4748 
2023 3 5 0 0.4717 
2023 3 6 0 0.4684 
2023 3 7 0 0.4649 
2023 3 8 0 0.4613 
2023 3 9 0 0.4577 
2023 3 10 0 0.4540 
2023 3 11 0 0.4503 
2023 3 12 0 0.4467 
2023 3 13 0 0.4430 
2023 3 14 0 0.4393 
2023 3 15 0 0.4356 
2023 3 16 0 0.4319 
2023 3 17 0 0.4282 
2023 3 18 0 0.4246 
2023 3 19 0 0.4210 
2023 3 20 0 0.4175 
2023 3 21 0 0.4139 
2023 3 22 0 0.4104 
2023 3 23 0 0.4070 
2023 3 24 0 0.4038 
2023 3 25 0 0.4009 
2023 3 26 0 0.3980 
2023 3 27 0 0.3951 
2023 3 28 0 0.3923 
2023 3 29 0 0.3892 
2023 3 30 0 0.3861 
2023 3 31 0 0.3839 
2023 4 1 0 0.3847 
2023 4 2 0 0.3852 
2023 4 3 0 0.3841 
2023 4 4 0 0.3819 
2023 4 5 0 0.3794 
2023 4 6 0 0.3767 
2023 4 7 0 0.3737 
2023 4 8 0 0.3706 
2023 4 9 0 0.3675 
2023 4 10 0 0.3643 
2023 4 11 0 0.3634 
2023 4 12 0 0.3622 
2023 4 13 0 0.3610 
2023 4 14 0 0.3602 
2023 4 15 0 0.3593 
2023 4 16 0 0.3583 
2023 4 17 0 0.3576 
2023 4 18 0 0.3571 
2023 4 19 0 0.3569 
2023 4 20 0 0.3572 
2023 4 21 0 0.3581 
2023 4 22 0 0.3598 
2023 4 23 0 0.3629 
2023 4 24 0 0.3660 
2023 4 25 0 0.3685 
2023 4 26 0 0.3699 
2023 4 27 0 0.3704 
2023 4 28 0 0.3703 
2023 4 29 0 0.3699 
2023 4 30 0 0.3692 
2023 5 1 0 0.3684 
2023 5 2 0 0.3677 
2023 5 3 0 0.3672 
2023 5 4 0 0.3668 
2023 5 5 0 0.3662 
2023 5 6 0 0.3653 
2023 5 7 0 0.3643 
2023 5 8 0 0.3636 
2023 5 9 0 0.3641 
2023 5 10 0 0.3680 
2023 5 11 0 0.3732 
2023 5 12 0 0.3801 
2023 5 13 0 0.3878 
2023 5 14 0 0.3954 
2023 5 15 0 0.4047 
2023 5 16 0 0.4164 
2023 5 17 0 0.4252 
2023 5 18 0 0.4310 
2023 5 19 0 0.4356 
2023 5 20 0 0.4401 
2023 5 21 0 0.4441 
2023 5 22 0 0.4479 
2023 5 23 0 0.4539 
2023 5 24 0 0.4599 
2023 5 25 0 0.4652 
2023 5 26 0 0.4703 
2023 5 27 0 0.4746 
2023 5 28 0 0.4771 
2023 5 29 0 0.4781 
2023 5 30 0 0.4782 
2023 5 31 0 0.4777 
2023 6 1 0 0.4767 
2023 6 2 0 0.4753 
2023 6 3 0 0.4734 
2023 6 4 0 0.4712 
2023 6 5 0 0.4689 
2023 6 6 0 0.4662 
2023 6 7 0 0.4634 
2023 6 8 0 0.4603 
2023 6 9 0 0.4571 
2023 6 10 0 0.4538 
2023 6 11 0 0.4503 
2023 6 12 0 0.4467 
2023 6 13 0 0.4431 
2023 6 14 0 0.4393 
2023 6 15 0 0.4355 
2023 6 16 0 0.4317 
2023 6 17 0 0.4279 
2023 6 18 0 0.4240 
2023 6 19 0 0.4201 
2023 6 20 0 0.4163 
2023 6 21 0 0.4125 
2023 6 22 0 0.4097 
2023 6 23 0 0.4064 
2023 6 24 0 0.4029 
2023 6 25 0 0.3993 
2023 6 26 0 0.3955 
2023 6 27 0 0.3917 
2023 6 28 0 0.3879 
2023 6 29 0 0.3841 
2023 6 30 0 0.3804 
2023 7 1 0 0.3766 
2023 7 2 0 0.3728 
2023 7 3 0 0.3690 
2023 7 4 0 0.3653 
2023 7 5 0 0.3616 
2023 7 6 0 0.3580 
2023 7 7 0 0.3545 
2023 7 8 0 0.3514 
2023 7 9 0 0.3484 
2023 7 10 0 0.3452 
2023 7 11 0 0.3421 
2023 7 12 0 0.3392 
2023 7 13 0 0.3361 
2023 7 14 0 0.3328 
2023 7 15 0 0.3298 
2023 7 16 0 0.3279 
2023 7 17 0 0.3270 
2023 7 18 0 0.3257 
2023 7 19 0 0.3237 
2023 7 20 0 0.3213 
2023 7 21 0 0.3186 
2023 7 22 0 0.3157 
2023 7 23 0 0.3128 
2023 7 24 0 0.3098 
2023 7 25 0 0.3066 
2023 7 26 0 0.3033 
2023 7 27 0 0.2998 
2023 7 28 0 0.2963 
2023 7 29 0 0.2928 
2023 7 30 0 0.2893 
2023 7 31 0 0.2865 
2023 8 1 0 0.2833 
2023 8 2 0 0.2798 
2023 8 3 0 0.2762 
2023 8 4 0 0.2725 
2023 8 5 0 0.2688 
2023 8 6 0 0.2650 
2023 8 7 0 0.2613 
2023 8 8 0 0.2580 
2023 8 9 0 0.2550 
2023 8 10 0 0.2519 
2023 8 11 0 0.2490 
2023 8 12 0 0.2458 
2023 8 13 0 0.2424 
2023 8 14 0 0.2389 
2023 8 15 0 0.2362 
2023 8 16 0 0.2340 
2023 8 17 0 0.2314 
2023 8 18 0 0.2285 
2023 8 19 0 0.2255 
2023 8 20 0 0.2235 
2023 8 21 0 0.2209 
2023 8 22 0 0.2180 
2023 8 23 0 0.2150 
2023 8 24 0 0.2117 
2023 8 25 0 0.2088 
2023 8 26 0 0.2065 
2023 8 27 0 0.2044 
2023 8 28 0 0.2018 
2023 8 29 0 0.1989 
2023 8 30 0 0.1958 
2023 8 31 0 0.1926 
