RESERVOIR node 0 HJELLE
reservoir_init_fr= 0.70000  masl=750.924
Filling at HRW [Mm3] = 10.00000
Filling at LRW [Mm3] = 1.00000
Active reservoir capacity [Mm3] = 9.00000
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2022 9 1 0 0.3500 564.8800 0.0000 0.0000 7.1574 754.0565 0.6842 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 2 0 0.3100 425.8500 0.0000 0.0000 7.0114 753.9053 0.6679 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 3 0 0.2800 383.9200 0.0000 0.0000 6.8628 753.7514 0.6514 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 4 0 0.3200 310.1000 0.0000 0.0000 6.7177 753.6011 0.6353 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 5 0 0.3800 388.8400 0.0000 0.0000 6.5777 753.4562 0.6197 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 6 0 0.4600 414.3500 0.0000 0.0000 6.4446 753.3184 0.6050 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 7 0 0.4700 451.5300 0.0000 0.0000 6.3124 753.1815 0.5903 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 8 0 0.4200 426.5600 0.0000 0.0000 6.1759 753.0402 0.5751 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 9 0 0.3800 352.9300 0.0000 0.0000 6.0360 752.8952 0.5596 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 10 0 0.4000 410.9400 0.0000 0.0000 5.8977 752.7521 0.5442 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 11 0 0.4800 400.0100 0.0000 0.0000 5.7664 752.6161 0.5296 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 12 0 0.7000 407.9500 0.0000 0.0000 5.6541 752.4998 0.5171 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 13 0 1.9000 382.5800 0.0000 0.0000 5.6454 752.4908 0.5162 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 14 0 1.3500 425.5000 0.0000 0.0000 5.5893 752.4327 0.5099 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 15 0 1.1200 355.8200 0.0000 0.0000 5.5132 752.3540 0.5015 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 16 0 0.9200 329.3900 0.0000 0.0000 5.4199 752.2573 0.4911 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 17 0 0.7600 246.9600 0.0000 0.0000 5.3128 752.1464 0.4792 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 18 0 0.6100 117.5900 0.0000 0.0000 5.1927 752.0220 0.4659 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 19 0 0.5100 288.3300 0.0000 0.0000 5.0640 751.8887 0.4516 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 20 0 0.4500 380.8200 0.0000 0.0000 4.9300 751.7500 0.4367 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 21 0 0.4100 388.8300 0.0000 0.0000 4.7927 751.6078 0.4214 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 22 0 0.3900 378.9000 0.0000 0.0000 4.6536 751.4638 0.4060 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 23 0 0.3900 359.9800 0.0000 0.0000 4.5145 751.3197 0.3905 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 24 0 0.4100 350.7100 0.0000 0.0000 4.3771 751.1775 0.3752 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 25 0 2.0800 299.0800 0.0000 0.0000 4.3840 751.1846 0.3760 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 26 0 3.4100 259.4000 0.0000 0.0000 4.5058 751.3108 0.3895 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 27 0 4.2500 306.8900 0.0000 0.0000 4.7002 751.5121 0.4111 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 28 0 5.8100 308.5200 0.0000 0.0000 5.0294 751.8529 0.4477 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 29 0 3.8800 347.1000 0.0000 0.0000 5.1918 752.0211 0.4658 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 30 0 2.9200 278.9700 0.0000 0.0000 5.2713 752.1034 0.4746 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 1 0 5.5200 90.2400 0.0000 0.0000 5.5755 752.4184 0.5084 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 2 0 6.6000 182.7200 0.0000 0.0000 5.9729 752.8299 0.5525 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 3 0 5.8000 234.6000 0.0000 0.0000 6.3012 753.1699 0.5890 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 4 0 5.6700 199.0100 0.0000 0.0000 6.6183 753.4982 0.6243 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 5 0 11.5200 51.1100 0.0000 0.0000 7.4408 754.3500 0.7156 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 6 0 16.9100 23.8700 0.0000 0.0000 8.7291 755.6839 0.8588 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 7 0 6.8200 30.2900 0.0000 0.0000 9.1455 756.1152 0.9051 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 8 0 5.7800 53.3800 0.0000 0.0000 9.4721 756.4534 0.9413 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 9 0 4.5600 91.9400 0.0000 0.0000 9.6933 756.6824 0.9659 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
