CHANNEL node 2 VANAROSEN
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 4.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2022 9 1 0 2.0000 0.02952826 2.1462 0.0000 
2022 9 2 0 2.0000 0.02881374 2.0083 0.0000 
2022 9 3 0 2.0000 0.02880000 2.0002 0.0000 
2022 9 4 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 5 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 6 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 7 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 8 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 9 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 10 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 11 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 12 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 13 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 14 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 15 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 16 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 17 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 18 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 19 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 20 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 21 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 22 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 23 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 24 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 25 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 26 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 27 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 28 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 29 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 30 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 1 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 2 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 3 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 4 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 5 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 6 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 7 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 8 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 9 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 10 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 11 0 2.0207 0.02908232 2.0175 0.0000 
2022 10 12 0 2.2262 0.03189620 2.1937 0.0000 
2022 10 13 0 2.3340 0.03352231 2.3152 0.0000 
2022 10 14 0 2.3575 0.03392828 2.3528 0.0000 
2022 10 15 0 2.6085 0.03736514 2.5687 0.0000 
2022 10 16 0 2.9233 0.04184414 2.8714 0.0000 
2022 10 17 0 3.1370 0.04499993 3.1004 0.0000 
2022 10 18 0 3.2688 0.04696436 3.2461 0.0000 
2022 10 19 0 3.2863 0.04730713 3.2823 0.0000 
2022 10 20 0 3.1954 0.04608435 3.2095 0.0000 
