Riversystem HJELLE_daily_e163 reservoir fractions [fr] 
YYYY MM DD HH HJELLE 
2022 9 1 0 0.6842 
2022 9 2 0 0.6679 
2022 9 3 0 0.6514 
2022 9 4 0 0.6353 
2022 9 5 0 0.6197 
2022 9 6 0 0.6050 
2022 9 7 0 0.5903 
2022 9 8 0 0.5751 
2022 9 9 0 0.5596 
2022 9 10 0 0.5442 
2022 9 11 0 0.5296 
2022 9 12 0 0.5171 
2022 9 13 0 0.5162 
2022 9 14 0 0.5099 
2022 9 15 0 0.5015 
2022 9 16 0 0.4911 
2022 9 17 0 0.4792 
2022 9 18 0 0.4659 
2022 9 19 0 0.4516 
2022 9 20 0 0.4367 
2022 9 21 0 0.4214 
2022 9 22 0 0.4060 
2022 9 23 0 0.3905 
2022 9 24 0 0.3752 
2022 9 25 0 0.3760 
2022 9 26 0 0.3895 
2022 9 27 0 0.4111 
2022 9 28 0 0.4477 
2022 9 29 0 0.4658 
2022 9 30 0 0.4746 
2022 10 1 0 0.5084 
2022 10 2 0 0.5525 
2022 10 3 0 0.5890 
2022 10 4 0 0.6243 
2022 10 5 0 0.7156 
2022 10 6 0 0.8588 
2022 10 7 0 0.9051 
2022 10 8 0 0.9413 
2022 10 9 0 0.9659 
2022 10 10 0 0.9844 
2022 10 11 0 1.0010 
2022 10 12 0 1.0104 
2022 10 13 0 1.0154 
2022 10 14 0 1.0164 
2022 10 15 0 1.0280 
2022 10 16 0 1.0424 
2022 10 17 0 1.0523 
2022 10 18 0 1.0583 
2022 10 19 0 1.0591 
2022 10 20 0 1.0549 
2022 10 21 0 1.0485 
2022 10 22 0 1.0423 
2022 10 23 0 1.0582 
2022 10 24 0 1.0846 
2022 10 25 0 1.0920 
2022 10 26 0 1.1535 
2022 10 27 0 1.1641 
2022 10 28 0 1.1593 
2022 10 29 0 1.1630 
2022 10 30 0 1.1620 
2022 10 31 0 1.1449 
2022 11 1 0 1.1307 
2022 11 2 0 1.1354 
2022 11 3 0 1.1819 
2022 11 4 0 1.2134 
2022 11 5 0 1.2255 
2022 11 6 0 1.2185 
2022 11 7 0 1.2253 
2022 11 8 0 1.2224 
2022 11 9 0 1.2285 
2022 11 10 0 1.2199 
2022 11 11 0 1.2037 
2022 11 12 0 1.1835 
2022 11 13 0 1.1624 
2022 11 14 0 1.1442 
2022 11 15 0 1.1396 
2022 11 16 0 1.1539 
2022 11 17 0 1.2154 
2022 11 18 0 1.2130 
2022 11 19 0 1.1903 
2022 11 20 0 1.1735 
2022 11 21 0 1.1496 
2022 11 22 0 1.1261 
2022 11 23 0 1.1111 
2022 11 24 0 1.0996 
2022 11 25 0 1.0990 
2022 11 26 0 1.1127 
