RESERVOIR node 0 KROKNESVATN
reservoir_init_fr= 0.66000  masl=410.462
Filling at HRW [Mm3] = 218.57000
Filling at LRW [Mm3] = 19.30000
Active reservoir capacity [Mm3] = 199.27000
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2022 9 1 0 0.6400 564.8800 0.0000 0.0000 150.4501 407.5592 0.6582 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
2022 9 2 0 0.5800 425.8500 0.0000 0.0000 150.0769 407.4069 0.6563 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
2022 9 3 0 0.5400 383.9200 0.0000 0.0000 149.7002 407.2531 0.6544 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
2022 9 4 0 0.6700 310.1000 0.0000 0.0000 149.3347 407.1040 0.6526 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
2022 9 5 0 0.6400 388.8400 0.0000 0.0000 148.9666 406.9537 0.6507 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
2022 9 6 0 0.5900 414.3500 0.0000 0.0000 148.5943 406.8017 0.6488 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
2022 9 7 0 0.5600 451.5300 0.0000 0.0000 148.2193 406.6487 0.6470 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
2022 9 8 0 0.5200 426.5600 0.0000 0.0000 147.8409 406.4942 0.6451 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
2022 9 9 0 0.4900 352.9300 0.0000 0.0000 147.4598 406.3387 0.6431 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
2022 9 10 0 0.4600 410.9400 0.0000 0.0000 147.0762 406.1821 0.6412 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
2022 9 11 0 0.4400 400.0100 0.0000 0.0000 146.6909 406.0248 0.6393 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
2022 9 12 0 1.1700 407.9500 0.0000 0.0000 146.3686 405.8933 0.6377 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
2022 9 13 0 4.6500 382.5800 0.0000 0.0000 146.3470 405.8845 0.6376 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
2022 9 14 0 2.9100 425.5000 0.0000 0.0000 146.1751 405.8143 0.6367 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
2022 9 15 0 2.2700 355.8200 0.0000 0.0000 145.9478 405.7216 0.6356 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
2022 9 16 0 1.8500 329.3900 0.0000 0.0000 145.6843 405.6140 0.6342 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
2022 9 17 0 1.4900 246.9600 0.0000 0.0000 145.3897 405.4938 0.6328 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
2022 9 18 0 1.2100 117.5900 0.0000 0.0000 145.0709 405.3636 0.6312 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
2022 9 19 0 1.0100 288.3300 0.0000 0.0000 144.7348 405.2264 0.6295 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
2022 9 20 0 0.9200 380.8200 0.0000 0.0000 144.3909 405.0861 0.6277 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
2022 9 21 0 0.8500 388.8300 0.0000 0.0000 144.0410 404.9433 0.6260 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
2022 9 22 0 0.8000 378.9000 0.0000 0.0000 143.6867 404.7987 0.6242 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
2022 9 23 0 0.8600 359.9800 0.0000 0.0000 143.3377 404.6562 0.6225 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
2022 9 24 0 0.9300 350.7100 0.0000 0.0000 142.9947 404.5162 0.6207 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
2022 9 25 0 0.9300 299.0800 0.0000 0.0000 142.6517 404.3762 0.6190 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
2022 9 26 0 2.5800 259.4000 0.0000 0.0000 142.4512 404.2944 0.6180 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
2022 9 27 0 5.0000 306.8900 0.0000 0.0000 142.4599 404.2979 0.6181 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
2022 9 28 0 11.4500 308.5200 0.0000 0.0000 143.0258 404.5289 0.6209 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
2022 9 29 0 8.0600 347.1000 0.0000 0.0000 143.2988 404.6403 0.6223 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
2022 9 30 0 6.0900 278.9700 0.0000 0.0000 143.4016 404.6823 0.6228 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
2022 10 1 0 13.2800 90.2400 0.0000 0.0000 144.1257 404.9778 0.6264 0.0000 4.9000 0.0000 0.0000 0.0000 4.9000 
