Riversystem KROKNESVATN_daily reservoir fractions [fr] 
YYYY MM DD HH KROKNESVATN 
2022 9 1 0 0.6582 
2022 9 2 0 0.6563 
2022 9 3 0 0.6544 
2022 9 4 0 0.6526 
2022 9 5 0 0.6507 
2022 9 6 0 0.6488 
2022 9 7 0 0.6470 
2022 9 8 0 0.6451 
2022 9 9 0 0.6431 
2022 9 10 0 0.6412 
2022 9 11 0 0.6393 
2022 9 12 0 0.6377 
2022 9 13 0 0.6376 
2022 9 14 0 0.6367 
2022 9 15 0 0.6356 
2022 9 16 0 0.6342 
2022 9 17 0 0.6328 
2022 9 18 0 0.6312 
2022 9 19 0 0.6295 
2022 9 20 0 0.6277 
2022 9 21 0 0.6260 
2022 9 22 0 0.6242 
2022 9 23 0 0.6225 
2022 9 24 0 0.6207 
2022 9 25 0 0.6190 
2022 9 26 0 0.6180 
2022 9 27 0 0.6181 
2022 9 28 0 0.6209 
2022 9 29 0 0.6223 
2022 9 30 0 0.6228 
2022 10 1 0 0.6264 
2022 10 2 0 0.6297 
2022 10 3 0 0.6316 
2022 10 4 0 0.6325 
2022 10 5 0 0.6334 
2022 10 6 0 0.6350 
2022 10 7 0 0.6370 
2022 10 8 0 0.6395 
2022 10 9 0 0.6410 
2022 10 10 0 0.6421 
2022 10 11 0 0.6432 
2022 10 12 0 0.6437 
2022 10 13 0 0.6440 
2022 10 14 0 0.6441 
2022 10 15 0 0.6461 
2022 10 16 0 0.6490 
2022 10 17 0 0.6517 
2022 10 18 0 0.6541 
2022 10 19 0 0.6558 
2022 10 20 0 0.6569 
2022 10 21 0 0.6574 
2022 10 22 0 0.6576 
2022 10 23 0 0.6574 
2022 10 24 0 0.6574 
2022 10 25 0 0.6580 
2022 10 26 0 0.6584 
2022 10 27 0 0.6586 
2022 10 28 0 0.6586 
2022 10 29 0 0.6587 
2022 10 30 0 0.6585 
2022 10 31 0 0.6582 
2022 11 1 0 0.6580 
2022 11 2 0 0.6593 
2022 11 3 0 0.6639 
2022 11 4 0 0.6703 
2022 11 5 0 0.6765 
2022 11 6 0 0.6806 
2022 11 7 0 0.6871 
2022 11 8 0 0.6925 
2022 11 9 0 0.6993 
2022 11 10 0 0.7041 
2022 11 11 0 0.7075 
2022 11 12 0 0.7099 
2022 11 13 0 0.7114 
2022 11 14 0 0.7122 
2022 11 15 0 0.7127 
2022 11 16 0 0.7134 
2022 11 17 0 0.7138 
2022 11 18 0 0.7138 
2022 11 19 0 0.7134 
2022 11 20 0 0.7128 
2022 11 21 0 0.7120 
2022 11 22 0 0.7111 
2022 11 23 0 0.7101 
2022 11 24 0 0.7096 
2022 11 25 0 0.7112 
2022 11 26 0 0.7140 
2022 11 27 0 0.7169 
2022 11 28 0 0.7232 
2022 11 29 0 0.7267 
2022 11 30 0 0.7283 
2022 12 1 0 0.7289 
2022 12 2 0 0.7291 
2022 12 3 0 0.7289 
2022 12 4 0 0.7284 
2022 12 5 0 0.7278 
2022 12 6 0 0.7272 
2022 12 7 0 0.7266 
2022 12 8 0 0.7260 
2022 12 9 0 0.7256 
2022 12 10 0 0.7252 
2022 12 11 0 0.7249 
2022 12 12 0 0.7246 
2022 12 13 0 0.7243 
2022 12 14 0 0.7239 
2022 12 15 0 0.7233 
2022 12 16 0 0.7226 
2022 12 17 0 0.7218 
2022 12 18 0 0.7210 
2022 12 19 0 0.7201 
2022 12 20 0 0.7191 
2022 12 21 0 0.7180 
2022 12 22 0 0.7168 
2022 12 23 0 0.7154 
2022 12 24 0 0.7140 
2022 12 25 0 0.7126 
2022 12 26 0 0.7118 
2022 12 27 0 0.7112 
2022 12 28 0 0.7103 
2022 12 29 0 0.7092 
2022 12 30 0 0.7081 
2022 12 31 0 0.7078 
2023 1 1 0 0.7070 
2023 1 2 0 0.7060 
2023 1 3 0 0.7049 
2023 1 4 0 0.7037 
2023 1 5 0 0.7025 
2023 1 6 0 0.7013 
2023 1 7 0 0.7001 
2023 1 8 0 0.7012 
2023 1 9 0 0.7040 
2023 1 10 0 0.7054 
2023 1 11 0 0.7062 
2023 1 12 0 0.7065 
2023 1 13 0 0.7064 
2023 1 14 0 0.7060 
2023 1 15 0 0.7056 
2023 1 16 0 0.7051 
2023 1 17 0 0.7045 
2023 1 18 0 0.7039 
2023 1 19 0 0.7031 
2023 1 20 0 0.7022 
2023 1 21 0 0.7012 
2023 1 22 0 0.7002 
2023 1 23 0 0.6992 
2023 1 24 0 0.6981 
2023 1 25 0 0.6972 
2023 1 26 0 0.6964 
2023 1 27 0 0.6956 
2023 1 28 0 0.6947 
2023 1 29 0 0.6936 
2023 1 30 0 0.6927 
2023 1 31 0 0.6918 
2023 2 1 0 0.6907 
2023 2 2 0 0.6899 
2023 2 3 0 0.6889 
2023 2 4 0 0.6877 
2023 2 5 0 0.6864 
2023 2 6 0 0.6852 
2023 2 7 0 0.6838 
2023 2 8 0 0.6824 
2023 2 9 0 0.6812 
2023 2 10 0 0.6800 
2023 2 11 0 0.6789 
2023 2 12 0 0.6778 
2023 2 13 0 0.6768 
2023 2 14 0 0.6758 
2023 2 15 0 0.6746 
2023 2 16 0 0.6733 
2023 2 17 0 0.6721 
2023 2 18 0 0.6711 
2023 2 19 0 0.6701 
2023 2 20 0 0.6692 
2023 2 21 0 0.6684 
2023 2 22 0 0.6673 
2023 2 23 0 0.6663 
2023 2 24 0 0.6652 
2023 2 25 0 0.6641 
2023 2 26 0 0.6631 
2023 2 27 0 0.6619 
2023 2 28 0 0.6607 
2023 3 1 0 0.6595 
2023 3 2 0 0.6583 
2023 3 3 0 0.6569 
2023 3 4 0 0.6556 
2023 3 5 0 0.6543 
2023 3 6 0 0.6528 
2023 3 7 0 0.6511 
2023 3 8 0 0.6495 
2023 3 9 0 0.6477 
2023 3 10 0 0.6460 
2023 3 11 0 0.6442 
2023 3 12 0 0.6424 
2023 3 13 0 0.6407 
2023 3 14 0 0.6390 
2023 3 15 0 0.6372 
2023 3 16 0 0.6355 
2023 3 17 0 0.6338 
2023 3 18 0 0.6322 
2023 3 19 0 0.6306 
2023 3 20 0 0.6292 
2023 3 21 0 0.6277 
2023 3 22 0 0.6263 
2023 3 23 0 0.6250 
2023 3 24 0 0.6240 
2023 3 25 0 0.6232 
2023 3 26 0 0.6225 
2023 3 27 0 0.6217 
2023 3 28 0 0.6208 
2023 3 29 0 0.6196 
2023 3 30 0 0.6182 
2023 3 31 0 0.6168 
2023 4 1 0 0.6155 
2023 4 2 0 0.6143 
2023 4 3 0 0.6131 
2023 4 4 0 0.6116 
2023 4 5 0 0.6102 
2023 4 6 0 0.6087 
2023 4 7 0 0.6071 
2023 4 8 0 0.6055 
2023 4 9 0 0.6041 
2023 4 10 0 0.6027 
2023 4 11 0 0.6042 
2023 4 12 0 0.6053 
2023 4 13 0 0.6064 
2023 4 14 0 0.6081 
2023 4 15 0 0.6098 
2023 4 16 0 0.6114 
2023 4 17 0 0.6133 
2023 4 18 0 0.6153 
2023 4 19 0 0.6176 
2023 4 20 0 0.6201 
2023 4 21 0 0.6231 
2023 4 22 0 0.6266 
2023 4 23 0 0.6321 
2023 4 24 0 0.6378 
2023 4 25 0 0.6429 
2023 4 26 0 0.6470 
2023 4 27 0 0.6499 
2023 4 28 0 0.6521 
2023 4 29 0 0.6537 
2023 4 30 0 0.6551 
2023 5 1 0 0.6564 
2023 5 2 0 0.6576 
2023 5 3 0 0.6590 
2023 5 4 0 0.6605 
2023 5 5 0 0.6616 
2023 5 6 0 0.6625 
2023 5 7 0 0.6636 
2023 5 8 0 0.6652 
2023 5 9 0 0.6683 
2023 5 10 0 0.6752 
2023 5 11 0 0.6829 
2023 5 12 0 0.6907 
2023 5 13 0 0.6989 
2023 5 14 0 0.7070 
2023 5 15 0 0.7149 
2023 5 16 0 0.7225 
2023 5 17 0 0.7293 
2023 5 18 0 0.7348 
2023 5 19 0 0.7395 
2023 5 20 0 0.7444 
2023 5 21 0 0.7491 
2023 5 22 0 0.7541 
2023 5 23 0 0.7616 
2023 5 24 0 0.7683 
2023 5 25 0 0.7740 
2023 5 26 0 0.7787 
2023 5 27 0 0.7824 
2023 5 28 0 0.7853 
2023 5 29 0 0.7876 
2023 5 30 0 0.7893 
2023 5 31 0 0.7905 
2023 6 1 0 0.7913 
2023 6 2 0 0.7919 
2023 6 3 0 0.7920 
2023 6 4 0 0.7919 
2023 6 5 0 0.7916 
2023 6 6 0 0.7910 
2023 6 7 0 0.7903 
2023 6 8 0 0.7893 
2023 6 9 0 0.7882 
2023 6 10 0 0.7870 
2023 6 11 0 0.7856 
2023 6 12 0 0.7842 
2023 6 13 0 0.7826 
2023 6 14 0 0.7810 
2023 6 15 0 0.7793 
2023 6 16 0 0.7776 
2023 6 17 0 0.7758 
2023 6 18 0 0.7741 
2023 6 19 0 0.7723 
2023 6 20 0 0.7705 
2023 6 21 0 0.7687 
