RESERVOIR node 0 SYN_RHO1_R0P5
reservoir_init_fr= 0.70000  masl=749.844
Filling at HRW [Mm3] = 5.00000
Filling at LRW [Mm3] = 0.50000
Active reservoir capacity [Mm3] = 4.50000
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2022 9 1 0 0.4663 564.8800 0.0000 0.0000 3.5175 753.9297 0.6706 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 2 0 0.4130 425.8500 0.0000 0.0000 3.3804 753.6457 0.6401 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 3 0 0.3730 383.9200 0.0000 0.0000 3.2398 753.3546 0.6088 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 4 0 0.4263 310.1000 0.0000 0.0000 3.1038 753.0730 0.5786 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 5 0 0.5063 388.8400 0.0000 0.0000 2.9748 752.8057 0.5499 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 6 0 0.6128 414.3500 0.0000 0.0000 2.8549 752.5575 0.5233 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 7 0 0.6262 451.5300 0.0000 0.0000 2.7362 752.3117 0.4969 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 8 0 0.5595 426.5600 0.0000 0.0000 2.6118 752.0540 0.4693 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 9 0 0.5063 352.9300 0.0000 0.0000 2.4827 751.7867 0.4406 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 10 0 0.5329 410.9400 0.0000 0.0000 2.3559 751.5242 0.4124 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 11 0 0.6395 400.0100 0.0000 0.0000 2.2384 751.2807 0.3863 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
