CHANNEL node 2 VANAROSEN
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 4.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2022 9 1 0 2.0000 0.03029202 2.2994 0.0000 
2022 9 2 0 2.0000 0.02882815 2.0169 0.0000 
2022 9 3 0 2.0000 0.02880000 2.0003 0.0000 
2022 9 4 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 5 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 6 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 7 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 8 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 9 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 10 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 11 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 12 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 13 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 14 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 15 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 16 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 17 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 18 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 19 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 20 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 21 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 22 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 23 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 24 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 25 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 26 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 27 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 28 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 29 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 30 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 1 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 2 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 3 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 4 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 5 0 5.3881 0.07492855 4.8542 0.0000 
2022 10 6 0 11.3117 0.15818770 10.3481 0.0000 
2022 10 7 0 10.5425 0.15232808 10.6103 0.0000 
2022 10 8 0 9.5603 0.13845024 9.7209 0.0000 
2022 10 9 0 8.3558 0.12128321 8.5544 0.0000 
2022 10 10 0 7.2775 0.10566008 7.4583 0.0000 
2022 10 11 0 6.4844 0.09401349 6.6192 0.0000 
2022 10 12 0 5.7213 0.08299793 5.8488 0.0000 
2022 10 13 0 5.0562 0.07334338 5.1680 0.0000 
2022 10 14 0 4.4460 0.06451207 4.5483 0.0000 
2022 10 15 0 4.6637 0.06699552 4.6350 0.0000 
2022 10 16 0 5.0916 0.07297990 5.0223 0.0000 
2022 10 17 0 5.2473 0.07543262 5.2189 0.0000 
2022 10 18 0 5.2295 0.07531631 5.2308 0.0000 
2022 10 19 0 4.9738 0.07182379 5.0142 0.0000 
2022 10 20 0 4.5256 0.06552469 4.5985 0.0000 
2022 10 21 0 4.0620 0.05886320 4.1391 0.0000 
2022 10 22 0 3.7033 0.05361630 3.7640 0.0000 
2022 10 23 0 4.6887 0.06674937 4.5367 0.0000 
2022 10 24 0 6.1025 0.08675130 5.8710 0.0000 
2022 10 25 0 6.1897 0.08904217 6.1632 0.0000 
2022 10 26 0 9.4605 0.13366182 8.9441 0.0000 
2022 10 27 0 9.2666 0.13354261 9.2680 0.0000 
2022 10 28 0 8.3478 0.12093194 8.4937 0.0000 
2022 10 29 0 8.1977 0.11817807 8.2296 0.0000 
2022 10 30 0 7.8601 0.11345214 7.9148 0.0000 
2022 10 31 0 6.6952 0.09733116 6.8818 0.0000 
2022 11 1 0 5.9330 0.08605091 6.0636 0.0000 
2022 11 2 0 6.3827 0.09156840 6.3188 0.0000 
2022 11 3 0 9.1494 0.12957197 8.7095 0.0000 
2022 11 4 0 10.5594 0.15090662 10.3124 0.0000 
2022 11 5 0 10.6671 0.15350068 10.6371 0.0000 
2022 11 6 0 9.7569 0.14121242 9.8991 0.0000 
2022 11 7 0 9.8887 0.14230776 9.8761 0.0000 
2022 11 8 0 9.4824 0.13686306 9.5454 0.0000 
2022 11 9 0 9.7091 0.13963867 9.6769 0.0000 
2022 11 10 0 9.0609 0.13098263 9.1611 0.0000 
2022 11 11 0 8.1165 0.11762829 8.2710 0.0000 
2022 11 12 0 7.1025 0.10308563 7.2708 0.0000 
2022 11 13 0 6.1811 0.08974576 6.3355 0.0000 
2022 11 14 0 5.5413 0.08031018 5.6505 0.0000 
2022 11 15 0 5.7211 0.08225248 5.6986 0.0000 
2022 11 16 0 6.8932 0.09833912 6.7070 0.0000 
2022 11 17 0 10.5379 0.14886595 9.9530 0.0000 
2022 11 18 0 9.8381 0.14216371 9.9156 0.0000 
2022 11 19 0 8.1738 0.11902026 8.4417 0.0000 
2022 11 20 0 7.2045 0.10453001 7.3722 0.0000 
