Riversystem syn_rho1_R0p5 reservoir fractions [fr] 
YYYY MM DD HH SYN_RHO1_R0P5 
2022 9 1 0 0.6706 
2022 9 2 0 0.6401 
2022 9 3 0 0.6088 
2022 9 4 0 0.5786 
2022 9 5 0 0.5499 
2022 9 6 0 0.5233 
2022 9 7 0 0.4969 
2022 9 8 0 0.4693 
2022 9 9 0 0.4406 
2022 9 10 0 0.4124 
2022 9 11 0 0.3863 
2022 9 12 0 0.3658 
2022 9 13 0 0.3760 
2022 9 14 0 0.3721 
2022 9 15 0 0.3624 
2022 9 16 0 0.3475 
2022 9 17 0 0.3286 
2022 9 18 0 0.3058 
2022 9 19 0 0.2804 
2022 9 20 0 0.2535 
2022 9 21 0 0.2256 
2022 9 22 0 0.1972 
2022 9 23 0 0.1688 
2022 9 24 0 0.1409 
2022 9 25 0 0.1557 
2022 9 26 0 0.2045 
2022 9 27 0 0.2748 
2022 9 28 0 0.3850 
2022 9 29 0 0.4459 
2022 9 30 0 0.4821 
2022 10 1 0 0.5849 
2022 10 2 0 0.7154 
2022 10 3 0 0.8253 
2022 10 4 0 0.9320 
2022 10 5 0 1.1232 
2022 10 6 0 1.3385 
2022 10 7 0 1.3106 
2022 10 8 0 1.2749 
2022 10 9 0 1.2311 
2022 10 10 0 1.1919 
2022 10 11 0 1.1630 
2022 10 12 0 1.1353 
2022 10 13 0 1.1111 
2022 10 14 0 1.0889 
2022 10 15 0 1.0968 
2022 10 16 0 1.1124 
2022 10 17 0 1.1181 
2022 10 18 0 1.1174 
2022 10 19 0 1.1081 
2022 10 20 0 1.0918 
2022 10 21 0 1.0750 
2022 10 22 0 1.0619 
2022 10 23 0 1.0978 
2022 10 24 0 1.1491 
2022 10 25 0 1.1523 
2022 10 26 0 1.2712 
2022 10 27 0 1.2642 
2022 10 28 0 1.2308 
2022 10 29 0 1.2253 
2022 10 30 0 1.2130 
2022 10 31 0 1.1707 
2022 11 1 0 1.1430 
2022 11 2 0 1.1593 
2022 11 3 0 1.2599 
2022 11 4 0 1.3112 
2022 11 5 0 1.3151 
