RESERVOIR node 0 SYN_RHO1_R4
reservoir_init_fr= 0.70000  masl=756.498
Filling at HRW [Mm3] = 40.00000
Filling at LRW [Mm3] = 4.00000
Active reservoir capacity [Mm3] = 36.00000
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2022 9 1 0 0.3827 564.8800 0.0000 0.0000 29.0603 754.1680 0.6961 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 2 0 0.3390 425.8500 0.0000 0.0000 28.9168 754.1308 0.6921 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 3 0 0.3062 383.9200 0.0000 0.0000 28.7704 754.0929 0.6881 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 4 0 0.3499 310.1000 0.0000 0.0000 28.6278 754.0560 0.6841 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 5 0 0.4155 388.8400 0.0000 0.0000 28.4909 754.0206 0.6803 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 6 0 0.5030 414.3500 0.0000 0.0000 28.3616 753.9871 0.6767 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 7 0 0.5139 451.5300 0.0000 0.0000 28.2332 753.9539 0.6731 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 8 0 0.4592 426.5600 0.0000 0.0000 28.1001 753.9194 0.6694 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 9 0 0.4155 352.9300 0.0000 0.0000 27.9632 753.8840 0.6656 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 10 0 0.4374 410.9400 0.0000 0.0000 27.8282 753.8490 0.6619 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 11 0 0.5248 400.0100 0.0000 0.0000 27.7007 753.8160 0.6584 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 12 0 0.7654 407.9500 0.0000 0.0000 27.5940 753.7884 0.6554 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 13 0 2.0775 382.5800 0.0000 0.0000 27.6007 753.7901 0.6556 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 14 0 1.4761 425.5000 0.0000 0.0000 27.5555 753.7784 0.6543 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 15 0 1.2246 355.8200 0.0000 0.0000 27.4885 753.7611 0.6525 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 16 0 1.0059 329.3900 0.0000 0.0000 27.4026 753.7388 0.6501 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 17 0 0.8310 246.9600 0.0000 0.0000 27.3016 753.7127 0.6473 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 18 0 0.6670 117.5900 0.0000 0.0000 27.1864 753.6829 0.6441 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 19 0 0.5576 288.3300 0.0000 0.0000 27.0618 753.6506 0.6406 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 20 0 0.4920 380.8200 0.0000 0.0000 26.9315 753.6169 0.6370 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 21 0 0.4483 388.8300 0.0000 0.0000 26.7974 753.5822 0.6333 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 22 0 0.4264 378.9000 0.0000 0.0000 26.6615 753.5470 0.6295 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 23 0 0.4264 359.9800 0.0000 0.0000 26.5255 753.5118 0.6257 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 24 0 0.4483 350.7100 0.0000 0.0000 26.3914 753.4771 0.6220 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 25 0 2.2743 299.0800 0.0000 0.0000 26.4151 753.4832 0.6226 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 26 0 3.7285 259.4000 0.0000 0.0000 26.5645 753.5219 0.6268 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 27 0 4.6470 306.8900 0.0000 0.0000 26.7932 753.5811 0.6331 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 28 0 6.3527 308.5200 0.0000 0.0000 27.1692 753.6784 0.6436 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 29 0 4.2424 347.1000 0.0000 0.0000 27.3630 753.7286 0.6490 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 30 0 3.1927 278.9700 0.0000 0.0000 27.4660 753.7553 0.6518 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 1 0 6.0356 90.2400 0.0000 0.0000 27.8147 753.8455 0.6615 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 2 0 7.2165 182.7200 0.0000 0.0000 28.2654 753.9622 0.6740 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 3 0 6.3417 234.6000 0.0000 0.0000 28.6405 754.0593 0.6845 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 4 0 6.1996 199.0100 0.0000 0.0000 29.0034 754.1532 0.6945 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 5 0 12.5960 51.1100 0.0000 0.0000 29.9189 754.3902 0.7200 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 6 0 18.4894 23.8700 0.0000 0.0000 31.3436 754.7591 0.7595 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 7 0 7.4570 30.2900 0.0000 0.0000 31.8151 754.8811 0.7726 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 8 0 6.3199 53.3800 0.0000 0.0000 32.1883 754.9777 0.7830 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 9 0 4.9859 91.9400 0.0000 0.0000 32.4463 755.0445 0.7902 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 10 0 4.2971 137.7100 0.0000 0.0000 32.6447 755.0959 0.7957 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 11 0 4.0893 174.3200 0.0000 0.0000 32.8253 755.1426 0.8007 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
