CHANNEL node 2 VANAROSEN
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 4.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2022 9 1 0 2.0000 0.02974288 2.1892 0.0000 
2022 9 2 0 2.0000 0.02881779 2.0107 0.0000 
2022 9 3 0 2.0000 0.02880000 2.0002 0.0000 
2022 9 4 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 5 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 6 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 7 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 8 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 9 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 10 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 11 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 12 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 13 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 14 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 15 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 16 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 17 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 18 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 19 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 20 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 21 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 22 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 23 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 24 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 25 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 26 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 27 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 28 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 29 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 30 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 1 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 2 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 3 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 4 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 5 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 6 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 7 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 8 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 9 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 10 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 11 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 12 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 13 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 14 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 15 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 16 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 17 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 18 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 19 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 20 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 21 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 22 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 23 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 24 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 25 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 26 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 27 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 28 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 29 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 30 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 31 0 2.0000 0.02880000 2.0000 0.0000 
2022 11 1 0 2.0000 0.02880000 2.0000 0.0000 
2022 11 2 0 2.0000 0.02880000 2.0000 0.0000 
2022 11 3 0 2.0000 0.02880000 2.0000 0.0000 
2022 11 4 0 2.0000 0.02880000 2.0000 0.0000 
2022 11 5 0 2.2850 0.03268036 2.2401 0.0000 
2022 11 6 0 2.4711 0.03543384 2.4393 0.0000 
