Riversystem syn_rho1_R4 reservoir fractions [fr] 
YYYY MM DD HH SYN_RHO1_R4 
2022 9 1 0 0.6961 
2022 9 2 0 0.6921 
2022 9 3 0 0.6881 
2022 9 4 0 0.6841 
2022 9 5 0 0.6803 
2022 9 6 0 0.6767 
2022 9 7 0 0.6731 
2022 9 8 0 0.6694 
2022 9 9 0 0.6656 
2022 9 10 0 0.6619 
2022 9 11 0 0.6584 
2022 9 12 0 0.6554 
2022 9 13 0 0.6556 
2022 9 14 0 0.6543 
2022 9 15 0 0.6525 
2022 9 16 0 0.6501 
2022 9 17 0 0.6473 
2022 9 18 0 0.6441 
2022 9 19 0 0.6406 
2022 9 20 0 0.6370 
2022 9 21 0 0.6333 
2022 9 22 0 0.6295 
2022 9 23 0 0.6257 
2022 9 24 0 0.6220 
2022 9 25 0 0.6226 
2022 9 26 0 0.6268 
2022 9 27 0 0.6331 
2022 9 28 0 0.6436 
2022 9 29 0 0.6490 
2022 9 30 0 0.6518 
2022 10 1 0 0.6615 
2022 10 2 0 0.6740 
2022 10 3 0 0.6845 
2022 10 4 0 0.6945 
2022 10 5 0 0.7200 
2022 10 6 0 0.7595 
2022 10 7 0 0.7726 
2022 10 8 0 0.7830 
2022 10 9 0 0.7902 
2022 10 10 0 0.7957 
2022 10 11 0 0.8007 
2022 10 12 0 0.8043 
2022 10 13 0 0.8070 
2022 10 14 0 0.8087 
2022 10 15 0 0.8139 
2022 10 16 0 0.8207 
2022 10 17 0 0.8268 
2022 10 18 0 0.8323 
2022 10 19 0 0.8363 
2022 10 20 0 0.8387 
2022 10 21 0 0.8402 
2022 10 22 0 0.8414 
2022 10 23 0 0.8495 
2022 10 24 0 0.8620 
2022 10 25 0 0.8697 
2022 10 26 0 0.8957 
2022 10 27 0 0.9085 
2022 10 28 0 0.9167 
2022 10 29 0 0.9275 
2022 10 30 0 0.9369 
2022 10 31 0 0.9409 
2022 11 1 0 0.9450 
2022 11 2 0 0.9544 
2022 11 3 0 0.9780 
2022 11 4 0 0.9992 
2022 11 5 0 1.0151 
2022 11 6 0 1.0250 
2022 11 7 0 1.0385 
2022 11 8 0 1.0486 
2022 11 9 0 1.0611 
2022 11 10 0 1.0686 
2022 11 11 0 1.0730 
2022 11 12 0 1.0750 
2022 11 13 0 1.0755 
2022 11 14 0 1.0758 
2022 11 15 0 1.0794 
2022 11 16 0 1.0885 
2022 11 17 0 1.1130 
2022 11 18 0 1.1195 
2022 11 19 0 1.1193 
2022 11 20 0 1.1196 
2022 11 21 0 1.1168 
2022 11 22 0 1.1129 
2022 11 23 0 1.1106 
2022 11 24 0 1.1087 
2022 11 25 0 1.1097 
2022 11 26 0 1.1151 
2022 11 27 0 1.1221 
2022 11 28 0 1.1319 
2022 11 29 0 1.1350 
2022 11 30 0 1.1336 
2022 12 1 0 1.1302 
2022 12 2 0 1.1259 
2022 12 3 0 1.1209 
2022 12 4 0 1.1156 
2022 12 5 0 1.1103 
2022 12 6 0 1.1052 
2022 12 7 0 1.1002 
2022 12 8 0 1.0956 
2022 12 9 0 1.0916 
2022 12 10 0 1.0877 
2022 12 11 0 1.0843 
2022 12 12 0 1.0811 
2022 12 13 0 1.0778 
2022 12 14 0 1.0743 
2022 12 15 0 1.0707 
2022 12 16 0 1.0670 
2022 12 17 0 1.0633 
2022 12 18 0 1.0598 
2022 12 19 0 1.0569 
2022 12 20 0 1.0552 
2022 12 21 0 1.0576 
2022 12 22 0 1.0603 
2022 12 23 0 1.0603 
2022 12 24 0 1.0582 
2022 12 25 0 1.0553 
2022 12 26 0 1.0562 
2022 12 27 0 1.0555 
2022 12 28 0 1.0531 
2022 12 29 0 1.0507 
2022 12 30 0 1.0481 
2022 12 31 0 1.0467 
2023 1 1 0 1.0443 
2023 1 2 0 1.0416 
2023 1 3 0 1.0386 
2023 1 4 0 1.0355 
2023 1 5 0 1.0336 
2023 1 6 0 1.0313 
2023 1 7 0 1.0290 
2023 1 8 0 1.0305 
2023 1 9 0 1.0353 
2023 1 10 0 1.0371 
2023 1 11 0 1.0374 
2023 1 12 0 1.0368 
2023 1 13 0 1.0355 
2023 1 14 0 1.0334 
2023 1 15 0 1.0313 
2023 1 16 0 1.0291 
2023 1 17 0 1.0268 
2023 1 18 0 1.0246 
2023 1 19 0 1.0221 
2023 1 20 0 1.0196 
2023 1 21 0 1.0170 
2023 1 22 0 1.0146 
2023 1 23 0 1.0126 
2023 1 24 0 1.0104 
2023 1 25 0 1.0084 
2023 1 26 0 1.0068 
2023 1 27 0 1.0050 
2023 1 28 0 1.0031 
2023 1 29 0 1.0011 
2023 1 30 0 0.9995 
2023 1 31 0 0.9978 
2023 2 1 0 0.9959 
2023 2 2 0 0.9944 
2023 2 3 0 0.9925 
2023 2 4 0 0.9901 
2023 2 5 0 0.9876 
2023 2 6 0 0.9849 
2023 2 7 0 0.9820 
2023 2 8 0 0.9791 
2023 2 9 0 0.9764 
2023 2 10 0 0.9739 
2023 2 11 0 0.9715 
