RESERVOIR node 0 SYN_RHO1P25_R4
reservoir_init_fr= 0.70000  masl=757.007
Filling at HRW [Mm3] = 40.00000
Filling at LRW [Mm3] = 4.00000
Active reservoir capacity [Mm3] = 36.00000
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2022 9 1 0 0.5022 564.8800 0.0000 0.0000 29.0706 754.1706 0.6964 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 2 0 0.4448 425.8500 0.0000 0.0000 28.9362 754.1359 0.6927 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 3 0 0.4018 383.9200 0.0000 0.0000 28.7981 754.1001 0.6888 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 4 0 0.4592 310.1000 0.0000 0.0000 28.6650 754.0656 0.6851 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 5 0 0.5453 388.8400 0.0000 0.0000 28.5393 754.0331 0.6816 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 6 0 0.6601 414.3500 0.0000 0.0000 28.4236 754.0031 0.6784 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 7 0 0.6744 451.5300 0.0000 0.0000 28.3090 753.9735 0.6753 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 8 0 0.6027 426.5600 0.0000 0.0000 28.1883 753.9422 0.6719 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 9 0 0.5453 352.9300 0.0000 0.0000 28.0626 753.9097 0.6684 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 10 0 0.5740 410.9400 0.0000 0.0000 27.9394 753.8778 0.6650 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 11 0 0.6888 400.0100 0.0000 0.0000 27.8261 753.8485 0.6618 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 12 0 1.0045 407.9500 0.0000 0.0000 27.7401 753.8262 0.6594 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 13 0 2.7265 382.5800 0.0000 0.0000 27.8029 753.8425 0.6612 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 14 0 1.9372 425.5000 0.0000 0.0000 27.7975 753.8411 0.6610 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 15 0 1.6072 355.8200 0.0000 0.0000 27.7635 753.8323 0.6601 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 16 0 1.3202 329.3900 0.0000 0.0000 27.7048 753.8171 0.6585 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 17 0 1.0906 246.9600 0.0000 0.0000 27.6262 753.7967 0.6563 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 18 0 0.8753 117.5900 0.0000 0.0000 27.5290 753.7716 0.6536 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 19 0 0.7318 288.3300 0.0000 0.0000 27.4195 753.7432 0.6505 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 20 0 0.6457 380.8200 0.0000 0.0000 27.3025 753.7129 0.6473 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 21 0 0.5883 388.8300 0.0000 0.0000 27.1805 753.6813 0.6439 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 22 0 0.5596 378.9000 0.0000 0.0000 27.0561 753.6491 0.6404 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 23 0 0.5596 359.9800 0.0000 0.0000 26.9316 753.6169 0.6370 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 24 0 0.5883 350.7100 0.0000 0.0000 26.8096 753.5853 0.6336 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 25 0 2.9848 299.0800 0.0000 0.0000 26.8947 753.6074 0.6360 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 26 0 4.8933 259.4000 0.0000 0.0000 27.1447 753.6721 0.6429 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 27 0 6.0987 306.8900 0.0000 0.0000 27.4988 753.7638 0.6527 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 28 0 8.3373 308.5200 0.0000 0.0000 28.0464 753.9055 0.6680 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 29 0 5.5678 347.1000 0.0000 0.0000 28.3546 753.9853 0.6765 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 9 30 0 4.1902 278.9700 0.0000 0.0000 28.5439 754.0343 0.6818 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 1 0 7.9212 90.2400 0.0000 0.0000 29.0555 754.1667 0.6960 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 2 0 9.4710 182.7200 0.0000 0.0000 29.7010 754.3338 0.7139 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 3 0 8.3230 234.6000 0.0000 0.0000 30.2473 754.4753 0.7291 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 4 0 8.1364 199.0100 0.0000 0.0000 30.7774 754.6125 0.7438 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 5 0 16.5311 51.1100 0.0000 0.0000 32.0329 754.9375 0.7787 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 6 0 24.2657 23.8700 0.0000 0.0000 33.9567 755.4355 0.8321 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 7 0 9.7867 30.2900 0.0000 0.0000 34.6295 755.6097 0.8508 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 8 0 8.2943 53.3800 0.0000 0.0000 35.1733 755.7505 0.8659 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
2022 10 9 0 6.5436 91.9400 0.0000 0.0000 35.5658 755.8521 0.8768 0.0000 2.0000 0.0000 0.0000 0.0000 2.0000 
