CHANNEL node 2 VANAROSEN
N_CASCADE_LINRES 3
K_TRAVELTIME_HOURS 4.00
yyyy mm dd hh [m3/s]    [Mm3]       [m3/s]      [Euro]
yyyy mm dd hh Up_Inflow Storage_Mm3 tot_outflow Qmin_Cost
2022 9 1 0 2.0000 0.03052806 2.3468 0.0000 
2022 9 2 0 2.0000 0.02883260 2.0196 0.0000 
2022 9 3 0 2.0000 0.02880000 2.0004 0.0000 
2022 9 4 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 5 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 6 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 7 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 8 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 9 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 10 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 11 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 12 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 13 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 14 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 15 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 16 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 17 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 18 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 19 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 20 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 21 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 22 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 23 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 24 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 25 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 26 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 27 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 28 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 29 0 2.0000 0.02880000 2.0000 0.0000 
2022 9 30 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 1 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 2 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 3 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 4 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 5 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 6 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 7 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 8 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 9 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 10 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 11 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 12 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 13 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 14 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 15 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 16 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 17 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 18 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 19 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 20 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 21 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 22 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 23 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 24 0 2.0000 0.02880000 2.0000 0.0000 
2022 10 25 0 2.0934 0.03007121 2.0787 0.0000 
2022 10 26 0 2.7313 0.03882897 2.6300 0.0000 
2022 10 27 0 3.0274 0.04335332 2.9751 0.0000 
2022 10 28 0 3.2041 0.04599653 3.1735 0.0000 
2022 10 29 0 3.4340 0.04926588 3.3961 0.0000 
2022 10 30 0 3.6216 0.05200033 3.5900 0.0000 
2022 10 31 0 3.6741 0.05286251 3.6641 0.0000 
2022 11 1 0 3.7243 0.05358907 3.7158 0.0000 
2022 11 2 0 3.9000 0.05602101 3.8718 0.0000 
2022 11 3 0 4.4010 0.06297857 4.3205 0.0000 
2022 11 4 0 4.8265 0.06915963 4.7549 0.0000 
2022 11 5 0 5.1238 0.07354316 5.0731 0.0000 
2022 11 6 0 5.2763 0.07585427 5.2495 0.0000 
2022 11 7 0 5.5201 0.07929571 5.4803 0.0000 
2022 11 8 0 5.6871 0.08175890 5.6585 0.0000 
2022 11 9 0 5.9131 0.08496911 5.8760 0.0000 
2022 11 10 0 6.0222 0.08663064 6.0030 0.0000 
2022 11 11 0 6.0565 0.08718502 6.0501 0.0000 
2022 11 12 0 6.0360 0.08693405 6.0389 0.0000 
2022 11 13 0 5.9817 0.08617917 5.9904 0.0000 
2022 11 14 0 5.9247 0.08536185 5.9342 0.0000 
2022 11 15 0 5.9509 0.08567271 5.9473 0.0000 
2022 11 16 0 6.1178 0.08796493 6.0913 0.0000 
2022 11 17 0 6.6650 0.09554371 6.5773 0.0000 
2022 11 18 0 6.7732 0.09744083 6.7512 0.0000 
2022 11 19 0 6.7143 0.09673048 6.7225 0.0000 
2022 11 20 0 6.6741 0.09613898 6.6809 0.0000 
2022 11 21 0 6.5568 0.09451115 6.5757 0.0000 
2022 11 22 0 6.4162 0.09250499 6.4394 0.0000 
2022 11 23 0 6.3157 0.09102656 6.3328 0.0000 
2022 11 24 0 6.2269 0.08973913 6.2418 0.0000 
2022 11 25 0 6.2115 0.08945884 6.2147 0.0000 
2022 11 26 0 6.3077 0.09075502 6.2927 0.0000 
2022 11 27 0 6.4449 0.09269785 6.4224 0.0000 
2022 11 28 0 6.6519 0.09562293 6.6181 0.0000 
2022 11 29 0 6.6931 0.09634526 6.6847 0.0000 
2022 11 30 0 6.6284 0.09549874 6.6382 0.0000 
2022 12 1 0 6.5144 0.09389728 6.5329 0.0000 
2022 12 2 0 6.3786 0.09196042 6.4010 0.0000 
2022 12 3 0 6.2258 0.08977364 6.2511 0.0000 
2022 12 4 0 6.0697 0.08752823 6.0957 0.0000 
2022 12 5 0 5.9129 0.08527055 5.9390 0.0000 
2022 12 6 0 5.7622 0.08309609 5.7874 0.0000 
2022 12 7 0 5.6155 0.08098122 5.6400 0.0000 
2022 12 8 0 5.4808 0.07903175 5.5034 0.0000 
2022 12 9 0 5.3600 0.07728048 5.3802 0.0000 
2022 12 10 0 5.2443 0.07561116 5.2637 0.0000 
2022 12 11 0 5.1405 0.07410691 5.1579 0.0000 
2022 12 12 0 5.0418 0.07268134 5.0583 0.0000 
2022 12 13 0 4.9418 0.07124197 4.9585 0.0000 
2022 12 14 0 4.8393 0.06976765 4.8563 0.0000 
2022 12 15 0 4.7331 0.06824197 4.7508 0.0000 
2022 12 16 0 4.6260 0.06669992 4.6438 0.0000 
2022 12 17 0 4.5198 0.06516944 4.5375 0.0000 
2022 12 18 0 4.4206 0.06373588 4.4372 0.0000 
2022 12 19 0 4.3344 0.06248427 4.3489 0.0000 
2022 12 20 0 4.2792 0.06166481 4.2887 0.0000 
2022 12 21 0 4.3268 0.06226919 4.3198 0.0000 
2022 12 22 0 4.3798 0.06302651 4.3710 0.0000 
2022 12 23 0 4.3685 0.06291432 4.3698 0.0000 
2022 12 24 0 4.3069 0.06206725 4.3167 0.0000 
2022 12 25 0 4.2249 0.06090441 4.2384 0.0000 
2022 12 26 0 4.2371 0.06100563 4.2359 0.0000 
2022 12 27 0 4.2096 0.06064014 4.2139 0.0000 
2022 12 28 0 4.1400 0.05967089 4.1512 0.0000 
2022 12 29 0 4.0727 0.05870106 4.0839 0.0000 
2022 12 30 0 3.9991 0.05764541 4.0113 0.0000 
2022 12 31 0 3.9559 0.05699955 3.9633 0.0000 
2023 1 1 0 3.8910 0.05608175 3.9016 0.0000 
2023 1 2 0 3.8153 0.05500017 3.8278 0.0000 
2023 1 3 0 3.7341 0.05383629 3.7476 0.0000 
2023 1 4 0 3.6503 0.05263141 3.6643 0.0000 
2023 1 5 0 3.5992 0.05187036 3.6080 0.0000 
2023 1 6 0 3.5343 0.05094510 3.5450 0.0000 
2023 1 7 0 3.4733 0.05006470 3.4835 0.0000 
2023 1 8 0 3.5049 0.05044686 3.5005 0.0000 
2023 1 9 0 3.6176 0.05200431 3.5996 0.0000 
2023 1 10 0 3.6560 0.05261404 3.6489 0.0000 
2023 1 11 0 3.6592 0.05268939 3.6583 0.0000 
2023 1 12 0 3.6400 0.05243083 3.6430 0.0000 
2023 1 13 0 3.6011 0.05188723 3.6074 0.0000 
2023 1 14 0 3.5472 0.05112315 3.5561 0.0000 
2023 1 15 0 3.4901 0.05030291 3.4996 0.0000 
2023 1 16 0 3.4323 0.04947136 3.4419 0.0000 
2023 1 17 0 3.3714 0.04859731 3.3816 0.0000 
2023 1 18 0 3.3138 0.04776510 3.3234 0.0000 
2023 1 19 0 3.2481 0.04682577 3.2590 0.0000 
2023 1 20 0 3.1828 0.04588514 3.1937 0.0000 
2023 1 21 0 3.1160 0.04492400 3.1271 0.0000 
2023 1 22 0 3.0521 0.04400101 3.0628 0.0000 
2023 1 23 0 3.0014 0.04326130 3.0100 0.0000 
2023 1 24 0 2.9449 0.04245195 2.9543 0.0000 
2023 1 25 0 2.8908 0.04167150 2.8999 0.0000 
2023 1 26 0 2.8484 0.04105126 2.8556 0.0000 
2023 1 27 0 2.8035 0.04040589 2.8109 0.0000 
2023 1 28 0 2.7543 0.03970080 2.7624 0.0000 
2023 1 29 0 2.7029 0.03896225 2.7114 0.0000 
2023 1 30 0 2.6617 0.03836188 2.6687 0.0000 
2023 1 31 0 2.6199 0.03775984 2.6269 0.0000 
2023 2 1 0 2.5749 0.03711450 2.5824 0.0000 
2023 2 2 0 2.5418 0.03662821 2.5474 0.0000 
2023 2 3 0 2.4995 0.03602702 2.5065 0.0000 
2023 2 4 0 2.4486 0.03530035 2.4570 0.0000 
2023 2 5 0 2.3961 0.03454616 2.4049 0.0000 
2023 2 6 0 2.3422 0.03377089 2.3512 0.0000 
2023 2 7 0 2.2869 0.03297554 2.2961 0.0000 
2023 2 8 0 2.2321 0.03218632 2.2413 0.0000 
2023 2 9 0 2.1859 0.03151410 2.1937 0.0000 
2023 2 10 0 2.1448 0.03091787 2.1517 0.0000 
2023 2 11 0 2.1092 0.03040052 2.1152 0.0000 
2023 2 12 0 2.0782 0.02995063 2.0834 0.0000 
2023 2 13 0 2.0485 0.02952261 2.0535 0.0000 
2023 2 14 0 2.0195 0.02910470 2.0244 0.0000 
2023 2 15 0 2.0000 0.02881578 2.0033 0.0000 
2023 2 16 0 2.0000 0.02880029 2.0002 0.0000 
2023 2 17 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 18 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 19 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 20 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 21 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 22 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 23 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 24 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 25 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 26 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 27 0 2.0000 0.02880000 2.0000 0.0000 
2023 2 28 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 1 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 2 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 3 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 4 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 5 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 6 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 7 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 8 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 9 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 10 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 11 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 12 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 13 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 14 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 15 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 16 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 17 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 18 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 19 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 20 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 21 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 22 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 23 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 24 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 25 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 26 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 27 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 28 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 29 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 30 0 2.0000 0.02880000 2.0000 0.0000 
2023 3 31 0 2.0000 0.02880000 2.0000 0.0000 
2023 4 1 0 2.0000 0.02880000 2.0000 0.0000 
2023 4 2 0 2.0000 0.02880000 2.0000 0.0000 
2023 4 3 0 2.1824 0.03128344 2.1537 0.0000 
2023 4 4 0 2.2642 0.03253734 2.2497 0.0000 
2023 4 5 0 2.3090 0.03321255 2.3011 0.0000 
2023 4 6 0 2.3357 0.03361198 2.3310 0.0000 
2023 4 7 0 2.3395 0.03368585 2.3387 0.0000 
2023 4 8 0 2.3302 0.03356233 2.3316 0.0000 
2023 4 9 0 2.3120 0.03330720 2.3150 0.0000 
2023 4 10 0 2.2964 0.03308105 2.2990 0.0000 
2023 4 11 0 2.4136 0.03466370 2.3953 0.0000 
2023 4 12 0 2.5015 0.03595057 2.4866 0.0000 
2023 4 13 0 2.5856 0.03716517 2.5715 0.0000 
2023 4 14 0 2.6921 0.03868143 2.6746 0.0000 
2023 4 15 0 2.7853 0.04003408 2.7697 0.0000 
2023 4 16 0 2.8745 0.04132199 2.8596 0.0000 
2023 4 17 0 2.9717 0.04271451 2.9556 0.0000 
2023 4 18 0 3.0807 0.04427538 3.0627 0.0000 
2023 4 19 0 3.2030 0.04602617 3.1828 0.0000 
2023 4 20 0 3.3585 0.04823870 3.3329 0.0000 
2023 4 21 0 3.5637 0.05115357 3.5299 0.0000 
2023 4 22 0 3.8164 0.05475459 3.7747 0.0000 
2023 4 23 0 4.1357 0.05929935 4.0831 0.0000 
2023 4 24 0 4.4344 0.06361546 4.3844 0.0000 
2023 4 25 0 4.6718 0.06708269 4.6316 0.0000 
2023 4 26 0 4.8388 0.06954410 4.8103 0.0000 
2023 4 27 0 4.9372 0.07101657 4.9202 0.0000 
2023 4 28 0 4.9949 0.07187930 4.9849 0.0000 
2023 4 29 0 5.0314 0.07242246 5.0251 0.0000 
2023 4 30 0 5.0527 0.07274162 5.0490 0.0000 
2023 5 1 0 5.0675 0.07296024 5.0650 0.0000 
2023 5 2 0 5.0922 0.07330840 5.0882 0.0000 
2023 5 3 0 5.1295 0.07383524 5.1234 0.0000 
2023 5 4 0 5.1708 0.07442594 5.1639 0.0000 
2023 5 5 0 5.2003 0.07486058 5.1953 0.0000 
2023 5 6 0 5.2094 0.07500725 5.2077 0.0000 
2023 5 7 0 5.2007 0.07489630 5.2020 0.0000 
2023 5 8 0 5.2054 0.07495374 5.2047 0.0000 
2023 5 9 0 5.2867 0.07606503 5.2739 0.0000 
2023 5 10 0 5.5735 0.08003202 5.5276 0.0000 
2023 5 11 0 5.9495 0.08537389 5.8877 0.0000 
2023 5 12 0 6.4761 0.09283678 6.3897 0.0000 
2023 5 13 0 7.0456 0.10100189 6.9511 0.0000 
2023 5 14 0 7.5831 0.10876607 7.4932 0.0000 
2023 5 15 0 8.2629 0.11844359 8.1509 0.0000 
2023 5 16 0 9.1538 0.13110517 9.0073 0.0000 
2023 5 17 0 9.7490 0.13990490 9.6471 0.0000 
2023 5 18 0 10.0786 0.14486356 10.0212 0.0000 
2023 5 19 0 10.2891 0.14799300 10.2529 0.0000 
2023 5 20 0 10.4776 0.15072574 10.4459 0.0000 
2023 5 21 0 10.6188 0.15279713 10.5948 0.0000 
2023 5 22 0 10.7285 0.15440271 10.7100 0.0000 
2023 5 23 0 10.9637 0.15769118 10.9257 0.0000 
2023 5 24 0 11.2259 0.16144391 11.1825 0.0000 
2023 5 25 0 11.4223 0.16432237 11.3889 0.0000 
2023 5 26 0 11.6355 0.16738106 11.6001 0.0000 
2023 5 27 0 11.7732 0.16942329 11.7496 0.0000 
2023 5 28 0 11.7723 0.16952041 11.7712 0.0000 
2023 5 29 0 11.6326 0.16761957 11.6546 0.0000 
2023 5 30 0 11.4345 0.16481415 11.4669 0.0000 
2023 5 31 0 11.2021 0.16149583 11.2405 0.0000 
2023 6 1 0 10.9469 0.15783963 10.9892 0.0000 
2023 6 2 0 10.6631 0.15377527 10.7101 0.0000 
2023 6 3 0 10.3605 0.14943344 10.4108 0.0000 
2023 6 4 0 10.0543 0.14502683 10.1053 0.0000 
2023 6 5 0 9.7452 0.14057779 9.7967 0.0000 
2023 6 6 0 9.4321 0.13607196 9.4842 0.0000 
2023 6 7 0 9.1170 0.13153617 9.1695 0.0000 
2023 6 8 0 8.8025 0.12700689 8.8549 0.0000 
2023 6 9 0 8.4898 0.12250266 8.5419 0.0000 
2023 6 10 0 8.1800 0.11804026 8.2317 0.0000 
2023 6 11 0 7.8750 0.11364418 7.9259 0.0000 
2023 6 12 0 7.5770 0.10934677 7.6267 0.0000 
2023 6 13 0 7.2868 0.10516259 7.3353 0.0000 
2023 6 14 0 7.0037 0.10107928 7.0509 0.0000 
2023 6 15 0 6.7296 0.09712581 6.7754 0.0000 
2023 6 16 0 6.4656 0.09331533 6.5097 0.0000 
2023 6 17 0 6.2104 0.08963423 6.2530 0.0000 
2023 6 18 0 5.9651 0.08609333 6.0060 0.0000 
2023 6 19 0 5.7309 0.08271285 5.7701 0.0000 
2023 6 20 0 5.5094 0.07951263 5.5464 0.0000 
2023 6 21 0 5.3104 0.07662981 5.3438 0.0000 
2023 6 22 0 5.2025 0.07500413 5.2213 0.0000 
2023 6 23 0 5.0664 0.07306506 5.0889 0.0000 
2023 6 24 0 4.9096 0.07082274 4.9355 0.0000 
