Riversystem syn_rho1p25_R4 reservoir fractions [fr] 
YYYY MM DD HH SYN_RHO1P25_R4 
2022 9 1 0 0.6964 
2022 9 2 0 0.6927 
2022 9 3 0 0.6888 
2022 9 4 0 0.6851 
2022 9 5 0 0.6816 
2022 9 6 0 0.6784 
2022 9 7 0 0.6753 
2022 9 8 0 0.6719 
2022 9 9 0 0.6684 
2022 9 10 0 0.6650 
2022 9 11 0 0.6618 
2022 9 12 0 0.6594 
2022 9 13 0 0.6612 
2022 9 14 0 0.6610 
2022 9 15 0 0.6601 
2022 9 16 0 0.6585 
2022 9 17 0 0.6563 
2022 9 18 0 0.6536 
2022 9 19 0 0.6505 
2022 9 20 0 0.6473 
2022 9 21 0 0.6439 
2022 9 22 0 0.6404 
2022 9 23 0 0.6370 
2022 9 24 0 0.6336 
2022 9 25 0 0.6360 
2022 9 26 0 0.6429 
2022 9 27 0 0.6527 
2022 9 28 0 0.6680 
2022 9 29 0 0.6765 
2022 9 30 0 0.6818 
2022 10 1 0 0.6960 
2022 10 2 0 0.7139 
2022 10 3 0 0.7291 
2022 10 4 0 0.7438 
2022 10 5 0 0.7787 
2022 10 6 0 0.8321 
2022 10 7 0 0.8508 
2022 10 8 0 0.8659 
2022 10 9 0 0.8768 
2022 10 10 0 0.8856 
2022 10 11 0 0.8936 
2022 10 12 0 0.8999 
2022 10 13 0 0.9049 
2022 10 14 0 0.9086 
2022 10 15 0 0.9169 
2022 10 16 0 0.9274 
2022 10 17 0 0.9369 
2022 10 18 0 0.9456 
2022 10 19 0 0.9524 
2022 10 20 0 0.9571 
2022 10 21 0 0.9605 
2022 10 22 0 0.9635 
2022 10 23 0 0.9757 
2022 10 24 0 0.9936 
2022 10 25 0 1.0050 
2022 10 26 0 1.0389 
2022 10 27 0 1.0546 
2022 10 28 0 1.0640 
2022 10 29 0 1.0762 
2022 10 30 0 1.0862 
2022 10 31 0 1.0890 
2022 11 1 0 1.0917 
2022 11 2 0 1.1010 
2022 11 3 0 1.1276 
2022 11 4 0 1.1502 
2022 11 5 0 1.1660 
2022 11 6 0 1.1742 
2022 11 7 0 1.1871 
2022 11 8 0 1.1960 
2022 11 9 0 1.2080 
2022 11 10 0 1.2138 
2022 11 11 0 1.2156 
2022 11 12 0 1.2145 
2022 11 13 0 1.2116 
2022 11 14 0 1.2086 
2022 11 15 0 1.2100 
2022 11 16 0 1.2189 
2022 11 17 0 1.2480 
2022 11 18 0 1.2537 
2022 11 19 0 1.2506 
2022 11 20 0 1.2485 
2022 11 21 0 1.2422 
2022 11 22 0 1.2347 
2022 11 23 0 1.2294 
2022 11 24 0 1.2247 
2022 11 25 0 1.2239 
2022 11 26 0 1.2290 
2022 11 27 0 1.2363 
2022 11 28 0 1.2473 
2022 11 29 0 1.2495 
2022 11 30 0 1.2460 
2022 12 1 0 1.2400 
2022 12 2 0 1.2327 
