RESERVOIR node 0 TOPPSY
reservoir_init_fr= 0.90000  masl=642.792
Filling at HRW [Mm3] = 395.17000
Filling at LRW [Mm3] = 268.53000
Active reservoir capacity [Mm3] = 126.64000
yyyy mm dd hh [m3/s] [Euro/MWh] [fr] [m3/s] [Mm3] [masl] [fr] [Euro]         [m3/s]     [m3/s]    [m3/s]   [m3/s]    [m3/s] 
yyyy mm dd hh Inflow Price Action Up_Inflow Res_Mm3 Res_masl Res_fr lrw_cost tunnelflow hatchflow overflow auto_qmin tot_outflow
2022 9 1 0 0.2900 564.8800 0.0000 0.0000 382.2762 646.9518 0.8982 0.0000 2.9500 0.0000 0.0000 0.0000 2.9500 
2022 9 2 0 0.2600 425.8500 0.0000 0.0000 382.0438 646.8969 0.8963 0.0000 2.9500 0.0000 0.0000 0.0000 2.9500 
2022 9 3 0 0.2400 383.9200 0.0000 0.0000 381.8096 646.8415 0.8945 0.0000 2.9500 0.0000 0.0000 0.0000 2.9500 
2022 9 4 0 0.3000 310.1000 0.0000 0.0000 381.5807 646.7874 0.8927 0.0000 2.9500 0.0000 0.0000 0.0000 2.9500 
2022 9 5 0 0.3000 388.8400 0.0000 0.0000 381.3517 646.7333 0.8909 0.0000 2.9500 0.0000 0.0000 0.0000 2.9500 
2022 9 6 0 0.3100 414.3500 0.0000 0.0000 381.1236 646.6793 0.8891 0.0000 2.9500 0.0000 0.0000 0.0000 2.9500 
2022 9 7 0 0.3000 451.5300 0.0000 0.0000 380.8946 646.6252 0.8873 0.0000 2.9500 0.0000 0.0000 0.0000 2.9500 
2022 9 8 0 0.2800 426.5600 0.0000 0.0000 380.6640 646.5707 0.8855 0.0000 2.9500 0.0000 0.0000 0.0000 2.9500 
2022 9 9 0 0.2600 352.9300 0.0000 0.0000 380.4315 646.5157 0.8836 0.0000 2.9500 0.0000 0.0000 0.0000 2.9500 
2022 9 10 0 0.2500 410.9400 0.0000 0.0000 380.1983 646.4606 0.8818 0.0000 2.9500 0.0000 0.0000 0.0000 2.9500 
2022 9 11 0 0.2700 400.0100 0.0000 0.0000 379.9667 646.4058 0.8799 0.0000 2.9500 0.0000 0.0000 0.0000 2.9500 
2022 9 12 0 0.5500 407.9500 0.0000 0.0000 379.7593 646.3568 0.8783 0.0000 2.9500 0.0000 0.0000 0.0000 2.9500 
2022 9 13 0 1.9500 382.5800 0.0000 0.0000 379.6729 646.3364 0.8776 0.0000 2.9500 0.0000 0.0000 0.0000 2.9500 
2022 9 14 0 1.2600 425.5000 0.0000 0.0000 379.5269 646.3019 0.8765 0.0000 2.9500 0.0000 0.0000 0.0000 2.9500 
2022 9 15 0 1.0100 355.8200 0.0000 0.0000 379.3593 646.2622 0.8752 0.0000 2.9500 0.0000 0.0000 0.0000 2.9500 
2022 9 16 0 0.8200 329.3900 0.0000 0.0000 379.1753 646.2187 0.8737 0.0000 2.9500 0.0000 0.0000 0.0000 2.9500 
2022 9 17 0 0.6700 246.9600 0.0000 0.0000 378.9783 646.1722 0.8721 0.0000 2.9500 0.0000 0.0000 0.0000 2.9500 
2022 9 18 0 0.5400 117.5900 0.0000 0.0000 378.7701 646.1229 0.8705 0.0000 2.9500 0.0000 0.0000 0.0000 2.9500 
2022 9 19 0 0.4500 288.3300 0.0000 0.0000 378.5541 646.0719 0.8688 0.0000 2.9500 0.0000 0.0000 0.0000 2.9500 
2022 9 20 0 0.4100 380.8200 0.0000 0.0000 378.3346 646.0200 0.8671 0.0000 2.9500 0.0000 0.0000 0.0000 2.9500 
2022 9 21 0 0.3800 388.8300 0.0000 0.0000 378.1126 645.9675 0.8653 0.0000 2.9500 0.0000 0.0000 0.0000 2.9500 
2022 9 22 0 0.3500 378.9000 0.0000 0.0000 377.8879 645.9144 0.8635 0.0000 2.9500 0.0000 0.0000 0.0000 2.9500 
2022 9 23 0 0.3700 359.9800 0.0000 0.0000 377.6650 645.8617 0.8618 0.0000 2.9500 0.0000 0.0000 0.0000 2.9500 
2022 9 24 0 0.4000 350.7100 0.0000 0.0000 377.4447 645.8096 0.8600 0.0000 2.9500 0.0000 0.0000 0.0000 2.9500 
2022 9 25 0 0.8900 299.0800 0.0000 0.0000 377.2667 645.7675 0.8586 0.0000 2.9500 0.0000 0.0000 0.0000 2.9500 
2022 9 26 0 1.7700 259.4000 0.0000 0.0000 377.1648 645.7434 0.8578 0.0000 2.9500 0.0000 0.0000 0.0000 2.9500 
2022 9 27 0 2.7400 306.8900 0.0000 0.0000 377.1466 645.7392 0.8577 0.0000 2.9500 0.0000 0.0000 0.0000 2.9500 
