Riversystem TOPPSY_daily reservoir fractions [fr] 
YYYY MM DD HH TOPPSY 
2022 9 1 0 0.8982 
2022 9 2 0 0.8963 
2022 9 3 0 0.8945 
2022 9 4 0 0.8927 
2022 9 5 0 0.8909 
2022 9 6 0 0.8891 
2022 9 7 0 0.8873 
2022 9 8 0 0.8855 
2022 9 9 0 0.8836 
2022 9 10 0 0.8818 
2022 9 11 0 0.8799 
2022 9 12 0 0.8783 
2022 9 13 0 0.8776 
2022 9 14 0 0.8765 
2022 9 15 0 0.8752 
2022 9 16 0 0.8737 
2022 9 17 0 0.8721 
2022 9 18 0 0.8705 
2022 9 19 0 0.8688 
2022 9 20 0 0.8671 
2022 9 21 0 0.8653 
2022 9 22 0 0.8635 
2022 9 23 0 0.8618 
2022 9 24 0 0.8600 
2022 9 25 0 0.8586 
2022 9 26 0 0.8578 
2022 9 27 0 0.8577 
2022 9 28 0 0.8592 
2022 9 29 0 0.8596 
2022 9 30 0 0.8594 
2022 10 1 0 0.8612 
2022 10 2 0 0.8630 
2022 10 3 0 0.8640 
2022 10 4 0 0.8646 
2022 10 5 0 0.8663 
2022 10 6 0 0.8694 
2022 10 7 0 0.8708 
2022 10 8 0 0.8720 
2022 10 9 0 0.8726 
2022 10 10 0 0.8729 
2022 10 11 0 0.8732 
2022 10 12 0 0.8730 
2022 10 13 0 0.8728 
2022 10 14 0 0.8723 
2022 10 15 0 0.8730 
2022 10 16 0 0.8742 
2022 10 17 0 0.8753 
2022 10 18 0 0.8761 
2022 10 19 0 0.8766 
2022 10 20 0 0.8767 
2022 10 21 0 0.8764 
2022 10 22 0 0.8759 
2022 10 23 0 0.8758 
2022 10 24 0 0.8761 
2022 10 25 0 0.8763 
2022 10 26 0 0.8778 
2022 10 27 0 0.8783 
2022 10 28 0 0.8782 
2022 10 29 0 0.8785 
2022 10 30 0 0.8785 
2022 10 31 0 0.8779 
2022 11 1 0 0.8775 
2022 11 2 0 0.8782 
2022 11 3 0 0.8815 
2022 11 4 0 0.8855 
2022 11 5 0 0.8890 
2022 11 6 0 0.8911 
2022 11 7 0 0.8947 
2022 11 8 0 0.8975 
2022 11 9 0 0.9012 
2022 11 10 0 0.9036 
2022 11 11 0 0.9052 
2022 11 12 0 0.9060 
2022 11 13 0 0.9064 
2022 11 14 0 0.9064 
2022 11 15 0 0.9065 
2022 11 16 0 0.9072 
2022 11 17 0 0.9090 
2022 11 18 0 0.9093 
2022 11 19 0 0.9088 
2022 11 20 0 0.9084 
2022 11 21 0 0.9075 
2022 11 22 0 0.9065 
2022 11 23 0 0.9056 
2022 11 24 0 0.9050 
2022 11 25 0 0.9055 
2022 11 26 0 0.9070 
2022 11 27 0 0.9087 
2022 11 28 0 0.9122 
2022 11 29 0 0.9139 
2022 11 30 0 0.9143 
2022 12 1 0 0.9142 
2022 12 2 0 0.9137 
2022 12 3 0 0.9130 
2022 12 4 0 0.9121 
2022 12 5 0 0.9112 
2022 12 6 0 0.9102 
2022 12 7 0 0.9092 
2022 12 8 0 0.9083 
2022 12 9 0 0.9075 
2022 12 10 0 0.9066 
2022 12 11 0 0.9059 
2022 12 12 0 0.9051 
2022 12 13 0 0.9043 
2022 12 14 0 0.9035 
2022 12 15 0 0.9025 
2022 12 16 0 0.9015 
2022 12 17 0 0.9004 
2022 12 18 0 0.8993 
2022 12 19 0 0.8982 
2022 12 20 0 0.8972 
2022 12 21 0 0.8964 
2022 12 22 0 0.8955 
2022 12 23 0 0.8945 
2022 12 24 0 0.8932 
2022 12 25 0 0.8919 
2022 12 26 0 0.8911 
2022 12 27 0 0.8903 
2022 12 28 0 0.8892 
2022 12 29 0 0.8881 
2022 12 30 0 0.8869 
2022 12 31 0 0.8861 
2023 1 1 0 0.8851 
2023 1 2 0 0.8839 
2023 1 3 0 0.8826 
2023 1 4 0 0.8813 
2023 1 5 0 0.8801 
2023 1 6 0 0.8788 
2023 1 7 0 0.8775 
2023 1 8 0 0.8776 
2023 1 9 0 0.8787 
2023 1 10 0 0.8790 
2023 1 11 0 0.8789 
2023 1 12 0 0.8785 
2023 1 13 0 0.8778 
2023 1 14 0 0.8769 
2023 1 15 0 0.8760 
2023 1 16 0 0.8750 
2023 1 17 0 0.8740 
2023 1 18 0 0.8730 
2023 1 19 0 0.8719 
2023 1 20 0 0.8707 
2023 1 21 0 0.8694 
2023 1 22 0 0.8682 
2023 1 23 0 0.8670 
2023 1 24 0 0.8657 
2023 1 25 0 0.8644 
2023 1 26 0 0.8633 
2023 1 27 0 0.8622 
2023 1 28 0 0.8610 
2023 1 29 0 0.8597 
2023 1 30 0 0.8585 
2023 1 31 0 0.8573 
2023 2 1 0 0.8560 
2023 2 2 0 0.8548 
2023 2 3 0 0.8535 
2023 2 4 0 0.8522 
2023 2 5 0 0.8507 
2023 2 6 0 0.8493 
2023 2 7 0 0.8478 
2023 2 8 0 0.8462 
2023 2 9 0 0.8448 
2023 2 10 0 0.8434 
2023 2 11 0 0.8420 
2023 2 12 0 0.8407 
2023 2 13 0 0.8394 
2023 2 14 0 0.8381 
2023 2 15 0 0.8367 
2023 2 16 0 0.8352 
2023 2 17 0 0.8339 
2023 2 18 0 0.8325 
2023 2 19 0 0.8313 
2023 2 20 0 0.8300 
2023 2 21 0 0.8289 
2023 2 22 0 0.8276 
2023 2 23 0 0.8263 
2023 2 24 0 0.8250 
2023 2 25 0 0.8238 
2023 2 26 0 0.8227 
2023 2 27 0 0.8216 
2023 2 28 0 0.8204 
2023 3 1 0 0.8192 
2023 3 2 0 0.8179 
2023 3 3 0 0.8165 
2023 3 4 0 0.8151 
2023 3 5 0 0.8138 
2023 3 6 0 0.8123 
2023 3 7 0 0.8107 
2023 3 8 0 0.8090 
2023 3 9 0 0.8074 
2023 3 10 0 0.8057 
2023 3 11 0 0.8040 
2023 3 12 0 0.8022 
2023 3 13 0 0.8005 
2023 3 14 0 0.7988 
2023 3 15 0 0.7971 
2023 3 16 0 0.7954 
2023 3 17 0 0.7937 
2023 3 18 0 0.7921 
2023 3 19 0 0.7905 
2023 3 20 0 0.7890 
2023 3 21 0 0.7874 
2023 3 22 0 0.7859 
2023 3 23 0 0.7844 
2023 3 24 0 0.7832 
2023 3 25 0 0.7820 
2023 3 26 0 0.7809 
2023 3 27 0 0.7799 
2023 3 28 0 0.7788 
2023 3 29 0 0.7774 
2023 3 30 0 0.7760 
2023 3 31 0 0.7749 
2023 4 1 0 0.7748 
2023 4 2 0 0.7746 
2023 4 3 0 0.7739 
2023 4 4 0 0.7728 
2023 4 5 0 0.7716 
2023 4 6 0 0.7702 
2023 4 7 0 0.7688 
2023 4 8 0 0.7674 
2023 4 9 0 0.7659 
2023 4 10 0 0.7645 
2023 4 11 0 0.7649 
2023 4 12 0 0.7650 
2023 4 13 0 0.7652 
2023 4 14 0 0.7657 
2023 4 15 0 0.7661 
2023 4 16 0 0.7665 
2023 4 17 0 0.7671 
2023 4 18 0 0.7678 
2023 4 19 0 0.7687 
2023 4 20 0 0.7698 
2023 4 21 0 0.7713 
2023 4 22 0 0.7733 
2023 4 23 0 0.7764 
2023 4 24 0 0.7796 
2023 4 25 0 0.7824 
2023 4 26 0 0.7845 
2023 4 27 0 0.7858 
2023 4 28 0 0.7867 
2023 4 29 0 0.7873 
2023 4 30 0 0.7877 
2023 5 1 0 0.7880 
2023 5 2 0 0.7883 
2023 5 3 0 0.7888 
2023 5 4 0 0.7893 
2023 5 5 0 0.7897 
2023 5 6 0 0.7898 
2023 5 7 0 0.7900 
2023 5 8 0 0.7905 
2023 5 9 0 0.7919 
2023 5 10 0 0.7958 
2023 5 11 0 0.8004 
2023 5 12 0 0.8056 
2023 5 13 0 0.8112 
2023 5 14 0 0.8167 
2023 5 15 0 0.8226 
2023 5 16 0 0.8292 
2023 5 17 0 0.8346 
2023 5 18 0 0.8385 
2023 5 19 0 0.8419 
2023 5 20 0 0.8452 
2023 5 21 0 0.8483 
2023 5 22 0 0.8515 
2023 5 23 0 0.8562 
2023 5 24 0 0.8607 
2023 5 25 0 0.8646 
2023 5 26 0 0.8680 
2023 5 27 0 0.8708 
2023 5 28 0 0.8729 
2023 5 29 0 0.8741 
2023 5 30 0 0.8748 
2023 5 31 0 0.8752 
2023 6 1 0 0.8754 
2023 6 2 0 0.8752 
2023 6 3 0 0.8748 
2023 6 4 0 0.8742 
2023 6 5 0 0.8734 
2023 6 6 0 0.8725 
2023 6 7 0 0.8714 
2023 6 8 0 0.8702 
2023 6 9 0 0.8689 
2023 6 10 0 0.8675 
2023 6 11 0 0.8660 
2023 6 12 0 0.8644 
2023 6 13 0 0.8628 
2023 6 14 0 0.8611 
2023 6 15 0 0.8594 
2023 6 16 0 0.8577 
2023 6 17 0 0.8559 
2023 6 18 0 0.8541 
2023 6 19 0 0.8524 
2023 6 20 0 0.8506 
2023 6 21 0 0.8488 
2023 6 22 0 0.8474 
2023 6 23 0 0.8458 
2023 6 24 0 0.8441 
2023 6 25 0 0.8423 
2023 6 26 0 0.8406 
2023 6 27 0 0.8388 
2023 6 28 0 0.8370 
2023 6 29 0 0.8353 
2023 6 30 0 0.8335 
2023 7 1 0 0.8318 
2023 7 2 0 0.8301 
2023 7 3 0 0.8283 
2023 7 4 0 0.8267 
2023 7 5 0 0.8251 
2023 7 6 0 0.8235 
2023 7 7 0 0.8219 
2023 7 8 0 0.8204 
2023 7 9 0 0.8189 
2023 7 10 0 0.8174 
2023 7 11 0 0.8160 
2023 7 12 0 0.8148 
2023 7 13 0 0.8135 
2023 7 14 0 0.8122 
2023 7 15 0 0.8110 
2023 7 16 0 0.8107 
2023 7 17 0 0.8112 
2023 7 18 0 0.8114 
2023 7 19 0 0.8111 
2023 7 20 0 0.8105 
2023 7 21 0 0.8097 
2023 7 22 0 0.8087 
2023 7 23 0 0.8077 
2023 7 24 0 0.8066 
2023 7 25 0 0.8053 
2023 7 26 0 0.8040 
2023 7 27 0 0.8026 
2023 7 28 0 0.8011 
2023 7 29 0 0.7996 
2023 7 30 0 0.7981 
2023 7 31 0 0.7967 
2023 8 1 0 0.7952 
2023 8 2 0 0.7935 
2023 8 3 0 0.7919 
2023 8 4 0 0.7902 
2023 8 5 0 0.7884 
2023 8 6 0 0.7867 
2023 8 7 0 0.7850 
2023 8 8 0 0.7836 
2023 8 9 0 0.7823 
2023 8 10 0 0.7809 
2023 8 11 0 0.7795 
2023 8 12 0 0.7779 
2023 8 13 0 0.7763 
2023 8 14 0 0.7747 
2023 8 15 0 0.7737 
2023 8 16 0 0.7731 
2023 8 17 0 0.7722 
2023 8 18 0 0.7711 
2023 8 19 0 0.7700 
2023 8 20 0 0.7696 
2023 8 21 0 0.7688 
2023 8 22 0 0.7678 
2023 8 23 0 0.7667 
2023 8 24 0 0.7654 
2023 8 25 0 0.7644 
2023 8 26 0 0.7639 
2023 8 27 0 0.7634 
2023 8 28 0 0.7627 
2023 8 29 0 0.7617 
2023 8 30 0 0.7605 
2023 8 31 0 0.7593 
